INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
2010-043C,37154,PAYLOAD,COSMOS 2468,CIS,2010-09-08,PKMTR,,115.79,82.46,1503,1479,,,0,LARGE,7345,2010,43,C,Y,COSMOS 2468,2010-043C,37154
1993-036UB,34482,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.07,74.05,816,708,,,0,SMALL,7337,1993,36,UB,Y,COSMOS 2251 DEB,1993-036UB,34482
2019-054C,44497,PAYLOAD,PEARL WHITE 1,US,2019-08-19,RLLC,,95.46,45.02,549,533,,,0,MEDIUM,7345,2019,54,C,Y,PEARL WHITE 1,2019-054C,44497
1993-036TX,34478,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.28,74.06,794,654,,,0,SMALL,7337,1993,36,TX,Y,COSMOS 2251 DEB,1993-036TX,34478
2010-043A,37152,PAYLOAD,COSMOS 2467,CIS,2010-09-08,PKMTR,,115.86,82.46,1495,1494,,,0,LARGE,7345,2010,43,A,Y,COSMOS 2467,2010-043A,37152
2019-054B,44496,ROCKET BODY,ELECTRON KICK STAGE R/B,US,2019-08-19,RLLC,,95.52,45.02,549,538,,,0,MEDIUM,7345,2019,54,B,Y,ELECTRON KICK STAGE R/B,2019-054B,44496
1993-036TT,34474,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,103.30,74.08,1082,747,,,0,SMALL,7337,1993,36,TT,Y,COSMOS 2251 DEB,1993-036TT,34474
1978-026HH,18775,DEBRIS,DELTA 1 DEB,US,1978-03-05,AFWTR,,103.04,99.37,949,856,,,0,SMALL,7337,1978,26,HH,Y,DELTA 1 DEB,1978-026HH,18775
1983-063D,14223,DEBRIS,SCOUT G-1 DEB,US,1983-06-27,AFWTR,,100.18,81.65,806,728,,,0,SMALL,7346,1983,63,D,Y,SCOUT G-1 DEB,1983-063D,14223
1983-075B,14208,ROCKET BODY,SL-3 R/B,CIS,1983-07-24,TTMTR,,95.29,97.40,558,507,,,0,LARGE,7346,1983,75,B,Y,SL-3 R/B,1983-075B,14208
1993-036TM,34468,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.80,74.02,807,692,,,0,SMALL,7337,1993,36,TM,Y,COSMOS 2251 DEB,1993-036TM,34468
2019-052A,44486,TBA,OBJECT A,PRC,2019-08-17,JSC,,95.54,97.57,558,531,,,0,MEDIUM,7345,2019,52,A,Y,OBJECT A,2019-052A,44486
1993-036TH,34464,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.34,74.02,718,641,,,0,SMALL,7337,1993,36,TH,Y,COSMOS 2251 DEB,1993-036TH,34464
1993-036TC,34459,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,103.06,74.08,1048,758,,,0,SMALL,7337,1993,36,TC,Y,COSMOS 2251 DEB,1993-036TC,34459
1993-036TA,34457,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.41,74.00,756,610,,,0,SMALL,7337,1993,36,TA,Y,COSMOS 2251 DEB,1993-036TA,34457
2019-022C,44484,PAYLOAD,AEROCUBE 10B (DOUGSAT),US,2019-04-17,WLPIS,,94.11,51.64,482,469,,,0,SMALL,7345,2019,22,C,Y,AEROCUBE 10B (DOUGSAT),2019-022C,44484
1993-036SP,34446,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.52,74.04,773,699,,,0,SMALL,7337,1993,36,SP,Y,COSMOS 2251 DEB,1993-036SP,34446
1985-042J,18766,DEBRIS,SL-12 DEB,CIS,1985-05-30,TTMTR,,100.76,66.57,840,749,,,0,SMALL,7337,1985,42,J,Y,SL-12 DEB,1985-042J,18766
1983-056G,14180,PAYLOAD,GB 3,US,1983-06-09,AFWTR,,106.29,63.29,1741,368,,,0,LARGE,7346,1983,56,G,Y,GB 3,1983-056G,14180
1985-042G,18764,DEBRIS,SL-12 DEB,CIS,1985-05-30,TTMTR,,99.65,66.59,804,680,,,0,SMALL,7337,1985,42,G,Y,SL-12 DEB,1985-042G,18764
1993-036SG,34439,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.40,74.06,772,593,,,0,SMALL,7337,1993,36,SG,Y,COSMOS 2251 DEB,1993-036SG,34439
1993-036BHF,37133,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,103.58,74.01,1137,718,,,0,SMALL,7345,1993,36,BHF,Y,COSMOS 2251 DEB,1993-036BHF,37133
1993-036RZ,34432,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,103.06,73.83,1047,760,,,0,SMALL,7337,1993,36,RZ,Y,COSMOS 2251 DEB,1993-036RZ,34432
1993-036RY,34431,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,101.24,74.08,872,762,,,0,SMALL,7337,1993,36,RY,Y,COSMOS 2251 DEB,1993-036RY,34431
1993-036RX,34430,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.40,74.05,825,730,,,0,SMALL,7337,1993,36,RX,Y,COSMOS 2251 DEB,1993-036RX,34430
1993-036RW,34429,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.71,74.01,728,666,,,0,SMALL,7337,1993,36,RW,Y,COSMOS 2251 DEB,1993-036RW,34429
1993-036RV,34428,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.23,74.04,749,695,,,0,SMALL,7337,1993,36,RV,Y,COSMOS 2251 DEB,1993-036RV,34428
1993-036BGV,37123,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.21,73.99,678,668,,,0,SMALL,7345,1993,36,BGV,Y,COSMOS 2251 DEB,1993-036BGV,37123
1993-036RR,34424,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,97.82,74.02,687,622,,,0,SMALL,7337,1993,36,RR,Y,COSMOS 2251 DEB,1993-036RR,34424
1993-036RP,34422,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.66,73.94,854,535,,,0,SMALL,7337,1993,36,RP,Y,COSMOS 2251 DEB,1993-036RP,34422
1993-036RM,34420,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.39,74.04,763,600,,,0,SMALL,7337,1993,36,RM,Y,COSMOS 2251 DEB,1993-036RM,34420
1983-044A,14064,PAYLOAD,COSMOS 1461,CIS,1983-05-07,TTMTR,,96.34,65.00,661,505,,,0,LARGE,7346,1983,44,A,Y,COSMOS 1461,1983-044A,14064
1965-027J,14047,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,111.13,90.30,1305,1253,,,0,SMALL,7346,1965,27,J,Y,OPS 4682 DEB,1965-027J,14047
1993-036RB,34410,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.36,73.77,726,634,,,0,SMALL,7337,1993,36,RB,Y,COSMOS 2251 DEB,1993-036RB,34410
2019-045C,44451,PAYLOAD,YAOGAN-30 Q,PRC,2019-07-26,XSC,,96.66,35.00,600,597,,,0,LARGE,7345,2019,45,C,Y,YAOGAN-30 Q,2019-045C,44451
1993-036QS,34401,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.94,74.05,754,662,,,0,SMALL,7337,1993,36,QS,Y,COSMOS 2251 DEB,1993-036QS,34401
1993-036QR,34400,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.21,74.01,720,626,,,0,SMALL,7337,1993,36,QR,Y,COSMOS 2251 DEB,1993-036QR,34400
2019-045B,44450,PAYLOAD,YAOGAN-30 P,PRC,2019-07-26,XSC,,96.66,35.00,606,591,,,0,LARGE,7345,2019,45,B,Y,YAOGAN-30 P,2019-045B,44450
1993-036BGH,37111,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,94.86,74.01,536,487,,,0,SMALL,7345,1993,36,BGH,Y,COSMOS 2251 DEB,1993-036BGH,37111
2019-045A,44449,PAYLOAD,YAOGAN-30 N,PRC,2019-07-26,XSC,,96.66,35.00,601,596,,,0,LARGE,7345,2019,45,A,Y,YAOGAN-30 N,2019-045A,44449
1995-021K,44440,DEBRIS,ERS 2 DEB,ESA,1995-04-21,FRGUI,,93.64,98.51,455,450,,,0,SMALL,7345,1995,21,K,Y,ERS 2 DEB,1995-021K,44440
1993-036QF,34390,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.84,74.09,756,650,,,0,SMALL,7337,1993,36,QF,Y,COSMOS 2251 DEB,1993-036QF,34390
1993-036QE,34389,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.28,74.02,794,749,,,0,SMALL,7337,1993,36,QE,Y,COSMOS 2251 DEB,1993-036QE,34389
1999-025EES,37058,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,99.06,96.67,780,648,,,0,SMALL,7345,1999,25,EES,Y,FENGYUN 1C DEB,1999-025EES,37058
1998-067QR,44431,PAYLOAD,VCC B,US,1998-11-20,TTMTR,,92.46,51.64,397,394,,,0,SMALL,7345,1998,67,QR,Y,VCC B,1998-067QR,44431
1998-067QM,44427,PAYLOAD,KRAKSAT,POL,1998-11-20,TTMTR,,92.54,51.64,401,397,,,0,SMALL,7345,1998,67,QM,Y,KRAKSAT,1998-067QM,44427
1998-067QL,44426,PAYLOAD,SWIATOWID,POL,1998-11-20,TTMTR,,92.24,51.64,386,383,,,0,SMALL,7345,1998,67,QL,Y,SWIATOWID,1998-067QL,44426
1999-025EDN,37030,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,100.80,99.72,819,775,,,0,SMALL,7345,1999,25,EDN,Y,FENGYUN 1C DEB,1999-025EDN,37030
2019-039E,44425,ROCKET BODY,VOLGA R/B,CIS,2019-07-10,PKMTR,,94.45,97.57,508,476,,,0,LARGE,7345,2019,39,E,Y,VOLGA R/B,2019-039E,44425
2019-039D,44424,PAYLOAD,COSMOS 2538,CIS,2019-07-10,PKMTR,,96.91,97.88,616,605,,,0,MEDIUM,7345,2019,39,D,Y,COSMOS 2538,2019-039D,44424
1999-025EDB,37019,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.22,98.70,961,671,,,0,SMALL,7345,1999,25,EDB,Y,FENGYUN 1C DEB,1999-025EDB,37019
1987-020Z,18746,DEBRIS,COSMOS 1823 DEB,CIS,1987-02-20,PKMTR,,112.72,73.49,1405,1298,,,0,SMALL,7337,1987,20,Z,Y,COSMOS 1823 DEB,1987-020Z,18746
2019-039B,44422,PAYLOAD,COSMOS 2536,CIS,2019-07-10,PKMTR,,96.99,97.83,620,609,,,0,LARGE,7345,2019,39,B,Y,COSMOS 2536,2019-039B,44422
1999-025ECQ,37008,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.74,99.10,938,839,,,0,SMALL,7345,1999,25,ECQ,Y,FENGYUN 1C DEB,1999-025ECQ,37008
2019-039A,44421,PAYLOAD,COSMOS 2535,CIS,2019-07-10,PKMTR,,96.91,97.88,616,605,,,0,LARGE,7345,2019,39,A,Y,COSMOS 2535,2019-039A,44421
2010-040A,36985,PAYLOAD,TIANHUI 1,PRC,2010-08-24,JSC,,94.46,97.72,501,483,,,0,LARGE,7345,2010,40,A,Y,TIANHUI 1,2010-040A,36985
2019-036AC,44420,PAYLOAD,LIGHTSAIL,US,2019-06-25,AFETR,,98.92,24.01,724,690,,,0,MEDIUM,7345,2019,36,AC,Y,LIGHTSAIL,2019-036AC,44420
1987-001B,17291,ROCKET BODY,SL-14 R/B,CIS,1987-01-05,PKMTR,,104.00,82.47,956,940,,,0,LARGE,7343,1987,1,B,Y,SL-14 R/B,1987-001B,17291
1997-051ES,34350,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,100.02,86.33,774,745,,,0,SMALL,7337,1997,51,ES,Y,IRIDIUM 33 DEB,1997-051ES,34350
2019-022H,44418,PAYLOAD,ORCA-1,US,2019-04-17,WLPIS,,94.06,51.65,481,465,,,0,MEDIUM,7345,2019,22,H,Y,ORCA-1,2019-022H,44418
1993-036PS,34344,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,102.63,73.99,1009,757,,,0,SMALL,7337,1993,36,PS,Y,COSMOS 2251 DEB,1993-036PS,34344
1993-036PQ,34342,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.18,74.18,748,596,,,0,SMALL,7337,1993,36,PQ,Y,COSMOS 2251 DEB,1993-036PQ,34342
1986-101E,17270,DEBRIS,SL-14 DEB,CIS,1986-12-18,PKMTR,,103.52,82.43,926,924,,,0,SMALL,7343,1986,101,E,Y,SL-14 DEB,1986-101E,17270
1993-036PK,34337,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,95.94,73.98,631,497,,,0,SMALL,7337,1993,36,PK,Y,COSMOS 2251 DEB,1993-036PK,34337
2019-022G,44417,PAYLOAD,RFTSAT,US,2019-04-17,WLPIS,,94.09,51.64,482,467,,,0,SMALL,7345,2019,22,G,Y,RFTSAT,2019-022G,44417
1993-036PD,34331,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.26,74.03,760,687,,,0,SMALL,7337,1993,36,PD,Y,COSMOS 2251 DEB,1993-036PD,34331
2019-022E,44415,PAYLOAD,NARSSCUBE-2,EGYP,2019-04-17,WLPIS,,94.12,51.64,484,468,,,0,SMALL,7345,2019,22,E,Y,NARSSCUBE-2,2019-022E,44415
1993-036NT,34321,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.88,74.03,765,741,,,0,SMALL,7337,1993,36,NT,Y,COSMOS 2251 DEB,1993-036NT,34321
2012-048K,38767,PAYLOAD,AEROCUBE 4.5A,US,2012-09-13,AFWTR,,96.50,64.67,689,493,,,0,SMALL,7342,2012,48,K,Y,AEROCUBE 4.5A,2012-048K,38767
1986-019HR,17478,DEBRIS,ARIANE 1 DEB,FR,1986-02-22,FRGUI,,100.83,98.45,827,769,,,0,SMALL,7342,1986,19,HR,Y,ARIANE 1 DEB,1986-019HR,17478
